Epoch	Iteration	num_iterations	learning_rate	feature_fraction	bagging_fraction	num_leaves	min_data_in_leaf	gpUtility	acqOptimum	inBounds	Elapsed	Score	errorMessage
23	33	2840	0.005	0.1	1	189	500	0.297021316774327	TRUE	TRUE	632.449999999997	0.936628845367089	
22	32	3000	0.00758079863944636	0.1	0.821975162671791	200	500	0.30660814180916	TRUE	TRUE	513.439999999995	0.936567732585097	
70	80	1388	0.0235482147175542	0.1	1	89	500	0.147948671444864	TRUE	TRUE	134.769999999997	0.936443900874835	
37	47	2566	0.005	0.1	0.5	200	500	0.239955503245292	TRUE	TRUE	753.060000000005	0.936377699509221	
33	43	3000	0.005	0.316303407409051	1	196	500	0.314060562206959	TRUE	TRUE	673.869999999995	0.936339442930645	
32	42	3000	0.005	0.1	0.902435693896488	176	558	0.334566104659902	TRUE	TRUE	568.419999999998	0.936135639187409	
8	18	3000	0.005	0.1	0.5	65	500	0.151521216696504	TRUE	TRUE	513.25	0.936097373835318	
48	58	2102	0.005	0.1	1	200	500	0.18878486882103	TRUE	TRUE	615.729999999996	0.935988306128424	
44	54	2887	0.0195778668232053	0.1	1	200	500	0.205715561611505	TRUE	TRUE	244.669999999998	0.935955288622989	
24	34	500	0.0266129831041325	0.1	1	173	500	0.276879781201832	TRUE	TRUE	148.190000000002	0.935918103704495	
29	39	2624	0.005	0.1	0.875730375045506	138	500	0.263810944126216	TRUE	TRUE	673.699999999997	0.935859712110372	
7	17	1958	0.0120596262050772	0.1	0.852429012888284	152	500	0.142699658013383	TRUE	TRUE	317.559999999998	0.935804619811746	
6	16	3000	0.0248640610216022	0.1	0.556466541767986	200	500	0.173493968949259	TRUE	TRUE	161.110000000001	0.93575193473004	
40	50	2664	0.0402291748003726	0.1	0.5	115	500	0.205894103787065	TRUE	TRUE	151.099999999999	0.935739130180017	
67	77	2775	0.005	0.1	1	200	837	0.15159908955516	TRUE	TRUE	521.68	0.935682726730745	
65	75	2020	0.005	0.382227089897268	0.5	66	500	0.210506236437598	TRUE	TRUE	435	0.935641187557571	
9	19	3000	0.005	0.1	0.5	174	949	0.110306840940038	TRUE	TRUE	509.980000000003	0.935634105157579	
53	63	1626	0.005	0.1	1	63	500	0.181386996376206	TRUE	TRUE	283.239999999998	0.935632648799799	
50	60	2831	0.005	0.729012786901985	0.83884471045968	190	506	0.348879978967892	TRUE	TRUE	669.480000000003	0.935587329474401	
56	66	2208	0.0332793950978274	0.1	1	71	500	0.247323500711084	TRUE	TRUE	98.6399999999994	0.935545618027029	
4	14	3000	0.0305500977899925	0.1	0.934885785326543	107	685	0.287954556289969	TRUE	TRUE	127.849999999999	0.93537011902309	
47	57	2740	0.00826707956650351	0.510914401062185	0.768237275651603	191	500	0.346680979709225	TRUE	TRUE	509.75	0.935307346684147	
11	21	3000	0.0233157533899179	0.1	0.634975678521528	112	500	0.238219642555136	TRUE	TRUE	156.599999999999	0.93529817078932	
61	71	1402	0.0452995438671456	0.1	1	121	500	0.271927844479289	TRUE	TRUE	111.529999999999	0.935291704523827	
52	62	1400	0.0315138151794529	0.1	0.749685390144014	131	500	0.162202697595551	TRUE	TRUE	141.020000000004	0.935286515245705	
30	40	3000	0.005	1	0.925821903023146	200	500	0.252256786629006	TRUE	TRUE	599.760000000002	0.935147399890954	
35	45	1210	0.0185793811970129	0.1	1	200	500	0.279094119460665	TRUE	TRUE	238.940000000002	0.935133906698852	
59	69	2118	0.0522796198725098	0.1	0.5	140	500	0.165057360021533	TRUE	TRUE	110.610000000001	0.93511972545889	
15	25	2227	0.0257265999828216	0.1	0.806213342565622	200	500	0.376785306724702	TRUE	TRUE	182.68	0.935056410175485	
20	30	1342	0.0286845060157239	0.501787541763573	0.5	200	500	0.316056391165606	TRUE	TRUE	159.099999999999	0.935055888896315	
34	44	694	0.0433299241253969	0.1	1	200	500	0.309693957922264	TRUE	TRUE	105.230000000003	0.934995453136566	
49	59	2601	0.0437993190312296	0.598491835094749	0.643948268869156	80	500	0.26891026916985	TRUE	TRUE	66.25	0.934994683153026	
42	52	1719	0.0385400431955706	0.1	0.5	87	771	0.188894727657546	TRUE	TRUE	101.480000000003	0.934982405499387	
58	68	1870	0.0215780174016662	0.1	0.5	145	500	0.160836568754968	TRUE	TRUE	199.020000000004	0.934947821593506	
3	13	500	0.0333853000160531	0.1	0.5	152	789	0.312420921468169	TRUE	TRUE	99.6399999999994	0.93488768287441	
13	23	3000	0.0609543594500995	0.1	0.5	63	500	0.357040878627946	TRUE	TRUE	60	0.934687996902583	
0	8	1482	0.0202970436156693	0.479754099515	0.667723680854897	33	1107		FALSE	TRUE	173.159999999996	0.934657297482844	
2	12	500	0.0274562729404215	0.1	1	200	1205	0.323896781154028	TRUE	TRUE	72.5299999999988	0.934628817595443	
