envios,total,public,private
6000,784000000,781800000,784942857.142857
6500,774000000,771266666.666667,775171428.571429
7000,764000000,761800000,764942857.142857
7500,754000000,752666666.666667,754571428.571429
8000,744000000,742000000,744857142.857143
8500,734000000,731666666.666667,735000000
9000,724000000,720800000,725371428.571429
9500,714000000,711666666.666667,715000000
10000,704000000,701733333.333333,704971428.571429
10500,694000000,691866666.666667,694914285.714286
11000,684000000,680066666.666667,685685714.285714
11500,674000000,671200000,675200000
12000,664000000,661066666.666667,665257142.857143
12500,654000000,650933333.333333,655314285.714286
13000,644000000,642200000,644771428.571429
13500,634000000,631466666.666667,635085714.285714
14000,624000000,621466666.666667,625085714.285714
14500,614000000,611333333.333333,615142857.142857
15000,604000000,600200000,605628571.428572
15500,594000000,590266666.666667,595600000
16000,584000000,579733333.333333,585828571.428572
16500,574000000,568800000,576228571.428571
17000,564000000,558866666.666667,566200000
17500,554000000,549466666.666667,555942857.142857
18000,544000000,539333333.333333,546000000
18500,534000000,529533333.333333,535914285.714286
19000,524000000,518333333.333333,526428571.428572
