Feature	Gain	Cover	Frequency
ctrx_quarter	0.0761018431911764	0.00998190298326811	0.0121360181506157
mpasivos_margen	0.0298796176771455	0.0057531781431996	0.0112349896312053
ctrx_quarter_lag1	0.0254265677275277	0.00651153708569756	0.00570806211523412
mprestamos_personales	0.0241575761364055	0.0112040299627914	0.00315127757948442
mpayroll	0.0186363944154094	0.00376784872313299	0.00104268506498784
mcuentas_saldo_base	0.0185408406134855	0.00345970072355252	0.00628629948980421
cpayroll_trx	0.0166279810485236	0.0038924315300614	0.000696671535626621
mcaja_ahorro	0.0161375133978792	0.00362133006634664	0.0089081067022124
mcaja_ahorro_base	0.0125178783883036	0.00226953052636347	0.00571270659213829
mtarjeta_visa_consumo	0.0125013106412777	0.00235228115069581	0.00379918210761717
numero_de_cliente	0.0121685315017204	0.0112284168747267	0.0209976800837864
ctarjeta_visa_transacciones	0.0116964829533408	0.00300297827938357	0.00434258590540594
mrentabilidad_annual	0.0116631778853301	0.0114212588744021	0.01627656931069
cliente_edad	0.0116592894552375	0.0123471827950095	0.0192676124369803
mactivos_margen	0.0108058581966602	0.00849111372192675	0.0108796871480357
mpayroll_base	0.0107960199304121	0.00253715167820954	0.000673449151105734
mcuentas_saldo	0.0106399422505595	0.00531856439260549	0.0110027657859964
Master_fechaalta	0.0105899203319304	0.00786912279024345	0.01360831732924
mcaja_ahorro_normal	0.0105670707413292	0.00126812710401605	0.00311179952579891
Visa_msaldototal	0.0103643609572919	0.00461293505134236	0.00542939350098347
Visa_Fvencimiento	0.0096456827533358	0.00757272822797892	0.015127061276906
Master_Fvencimiento	0.0093546483486948	0.00863994668957931	0.0143537558723605
Visa_fechaalta	0.00857701272313355	0.00535583084094776	0.0122080075426305
mcuenta_corriente	0.00848543418014215	0.0118378789936005	0.0131322584465618
cliente_antiguedad	0.00819298116987287	0.00884635417696851	0.0147438919323114
Visa_msaldopesos	0.00760267885237269	0.00376049114639914	0.00612838727506218
cliente_edad_lag1	0.00712100429849396	0.00755906104850044	0.0106010185337851
mrentabilidad	0.00686833835917919	0.00737981714246969	0.0115275916761685
chomebanking_transacciones	0.0067066913917246	0.00440337634600494	0.0102480382890676
mcomisiones_otras	0.00664799979209828	0.00378699879973365	0.00814641248992729
mrentabilidad_annual_delta1	0.0066101028915659	0.00878911352905111	0.00876180567973081
limite_total	0.00627631217458826	0.004309599428899	0.00970463449127883
mrentabilidad_annual_lag1	0.00623293391545152	0.00683846429362694	0.00806048966720001
Master_mfinanciacion_limite	0.00604978718074189	0.00456296029615508	0.0101946268046696
Visa_mfinanciacion_limite	0.0058463213906744	0.00434269380310775	0.010048325782188
Master_mlimitecompra	0.00563764507936967	0.00429016119334855	0.00658819048857575
Visa_mpagominimo	0.00559655698545577	0.00429930183025652	0.00671823584189272
Visa_status	0.00544300473791764	0.00976411512206552	0.000947473288452205
cdescubierto_preacordado	0.00537171175510248	0.00620596411529816	0.00141424321732204
mcomisiones	0.00517701257045025	0.00332320661494963	0.00885933969471853
mtransferencias_recibidas	0.00501698891056585	0.00427151524963605	0.00656496810405486
cliente_antiguedad_lag1	0.00497183010569365	0.00493171884731994	0.00774930971462012
mcomisiones_mantenimiento	0.00476583720095354	0.00542390892550429	0.00469092167321925
Visa_Fvencimiento_lag1	0.00476529966446978	0.00431762462013894	0.00702012684066425
Visa_mconsumospesos	0.0046862754487053	0.00305834108394551	0.00697368207162248
Visa_mpagospesos	0.00467667712897831	0.00306282456086074	0.00653013452727353
Master_fechaalta_lag1	0.00461731209855931	0.00344291893516112	0.0061446429442268
mcuentas_saldo_pct	0.00460774626151509	0.00335448667894355	0.00700387117149963
mcuentas_saldo_ratio	0.00460462759549041	0.00382495765600275	0.00746599662346529
