envios,bajas_capturadas,continua_enviados,precision,ganancia,ganancia_por_envio
6000,2085,3915,0.3475,541800000,90300
6500,2085,4415,0.3208,538300000,82815.38
7000,2085,4915,0.2979,534800000,76400
7500,2085,5415,0.278,531300000,70840
8000,2085,5915,0.2606,527800000,65975
8500,2085,6415,0.2453,524300000,61682.35
9000,2085,6915,0.2317,520800000,57866.67
9500,2085,7415,0.2195,517300000,54452.63
10000,2085,7915,0.2085,513800000,51380
10500,2085,8415,0.1986,510300000,48600
11000,2085,8915,0.1895,506800000,46072.73
11500,2085,9415,0.1813,503300000,43765.22
12000,2085,9915,0.1737,499800000,41650
12500,2085,10415,0.1668,496300000,39704
13000,2085,10915,0.1604,492800000,37907.69
13500,2085,11415,0.1544,489300000,36244.44
14000,2085,11915,0.1489,485800000,34700
14500,2085,12415,0.1438,482300000,33262.07
15000,2085,12915,0.139,478800000,31920
15500,2085,13415,0.1345,475300000,30664.52
16000,2085,13915,0.1303,471800000,29487.5
16500,2085,14415,0.1264,468300000,28381.82
17000,2085,14915,0.1226,464800000,27341.18
17500,2085,15415,0.1191,461300000,26360
18000,2085,15915,0.1158,457800000,25433.33
18500,2085,16415,0.1127,454300000,24556.76
19000,2085,16915,0.1097,450800000,23726.32
